source_rank,source_name,normalized_source_name,raw_affiliation,canonical_affiliation,resolution_action,confidence,canonical_player_id,candidate_player_ids,reason
1,AJ Dybantsa,aj dybantsa,BYU,BYU,matched,high,5390,5390,Normalized name matched one draft-year player with matching canonical affiliation
2,Darryn Peterson,darryn peterson,Kansas,Kansas,matched,high,5432,5432,Normalized name matched one draft-year player with matching canonical affiliation
3,Cameron Boozer,cameron boozer,Duke,Duke,matched,medium,5409,5409,Normalized name matched one draft-year player
4,Caleb Wilson,caleb wilson,North Carolina,UNC,matched,medium,5426,5426,Normalized name matched one draft-year player
5,Kingston Flemings,kingston flemings,Houston,Houston,matched,medium,5401,5401,Normalized name matched one draft-year player
6,Jayden Quaintance,jayden quaintance,Kentucky,Kentucky,matched,medium,5422,5422,Normalized name matched one draft-year player
7,Koa Peat,koa peat,Arizona,Arizona,matched,high,5406,5406,Normalized name matched one draft-year player with matching canonical affiliation
8,Yaxel Lendeborg,yaxel lendeborg,Michigan,Michigan,matched,medium,1691,1691,Normalized name matched one draft-year player
9,Hannes Steinbach,hannes steinbach,Washington,Washington,matched,medium,5421,5421,Normalized name matched one draft-year player
10,Mikel Brown Jr.,mikel brown,Louisville,Louisville,matched,high,5389,5389,Normalized name matched one draft-year player with matching canonical affiliation
11,Keaton Wagler,keaton wagler,Illinois,Illinois,matched,high,5402,5402,Normalized name matched one draft-year player with matching canonical affiliation
12,Thomas Haugh,thomas haugh,Florida,Florida,matched,high,5379,5379,Normalized name matched one draft-year player with matching canonical affiliation
13,Labaron Philon,labaron philon,Alabama,Alabama,matched,medium,1709,1709,Normalized name matched one draft-year player
14,Patrick Ngongba II,patrick ngongba,Duke,Duke,matched,high,5423,5423,Normalized name matched one draft-year player with matching canonical affiliation
15,Cameron Carr,cameron carr,Baylor,Baylor,matched,high,5439,5439,Normalized name matched one draft-year player with matching canonical affiliation
16,Darius Acuff Jr.,darius acuff,Arkansas,Arkansas,matched,high,5384,5384,Normalized name matched one draft-year player with matching canonical affiliation
17,Braylon Mullins,braylon mullins,Connecticut,UConn,matched,high,5424,5424,Normalized name matched one draft-year player with matching canonical affiliation
18,Nate Ament,nate ament,Tennessee,Tennessee,matched,high,5396,5396,Normalized name matched one draft-year player with matching canonical affiliation
19,Joshua Jefferson,joshua jefferson,Iowa State,Iowa State,matched,high,5388,5388,Normalized name matched one draft-year player with matching canonical affiliation
20,Christian Anderson,christian anderson,Texas Tech,Texas Tech,matched,medium,5382,5382,Normalized name matched one draft-year player
21,Benett Stirtz,benett stirtz,Iowa,Iowa,create_stub,medium,,,No existing draft-year player or alias candidate found
22,Amari Allen,amari allen,Alabama,Alabama,matched,high,5383,5383,Normalized name matched one draft-year player with matching canonical affiliation
23,Chris Cenac Jr.,chris cenac,Houston,Houston,matched,medium,5387,5387,Normalized name matched one draft-year player
24,Neoklis Avdalas,neoklis avdalas,Virginia Tech,Virginia Tech,matched,medium,1660,1660,Normalized name matched one draft-year player
25,Tounde Yessoufou,tounde yessoufou,Baylor,Baylor,matched,high,5414,5414,Normalized name matched one draft-year player with matching canonical affiliation
26,Karim Lopez,karim lopez,NZ Breakers,,matched,high,5443,5443,Normalized name matched one draft-year player
27,Tyler Tanner,tyler tanner,Vanderbilt,Vanderbilt,matched,high,5399,5399,Normalized name matched one draft-year player with matching canonical affiliation
28,Henri Veesaar,henri veesaar,North Carolina,UNC,matched,medium,6349,6349,Normalized name matched one draft-year player
29,Dash Daniels,dash daniels,Melbourne United,,matched,high,6187,6187,Normalized name matched one draft-year player
30,Killyan Toure,killyan toure,Iowa State,Iowa State,matched,high,6348,6348,Normalized name matched one draft-year player with matching canonical affiliation
31,Dailyn Swain,dailyn swain,Texas,Texas,matched,high,5391,5391,Normalized name matched one draft-year player with matching canonical affiliation
32,Aday Mara,aday mara,Michigan,Michigan,matched,high,5394,5394,Normalized name matched one draft-year player with matching canonical affiliation
33,Brayden Burries,brayden burries,Arizona,Arizona,matched,medium,5393,5393,Normalized name matched one draft-year player
34,Alex Karaban,alex karaban,Connecticut,UConn,matched,medium,1627,1627,Normalized name matched one draft-year player
35,Richie Saunders,richie saunders,BYU,BYU,matched,high,5385,5385,Normalized name matched one draft-year player with matching canonical affiliation
36,Isaiah Evans,isaiah evans,Duke,Duke,matched,medium,5440,5440,Normalized name matched one draft-year player
37,Meleek Thomas,meleek thomas,Arkansas,Arkansas,matched,medium,5434,5434,Normalized name matched one draft-year player
38,Braden Smith,braden smith,Purdue,Purdue,matched,high,5419,5419,Normalized name matched one draft-year player with matching canonical affiliation
39,Ryan Conwell,ryan conwell,Louisville,Louisville,matched,medium,5407,5407,Normalized name matched one draft-year player
40,JoJo Tugler,jojo tugler,Houston,Houston,matched,medium,6338,6338,Normalized name matched one draft-year player
41,Sergio De Larrea,sergio de larrea,Valencia,,matched,high,6350,6350,Normalized name matched one draft-year player
42,Dame Sarr,dame sarr,Duke,Duke,matched,medium,5425,5425,Normalized name matched one draft-year player
43,Tarris Reed Jr.,tarris reed,Connecticut,UConn,matched,medium,6337,6337,Normalized name matched one draft-year player
44,Alex Condon,alex condon,Florida,Florida,matched,medium,1669,1669,Normalized name matched one draft-year player
45,Tamin Lipsey,tamin lipsey,Iowa State,Iowa State,matched,high,6149,6149,Normalized name matched one draft-year player with matching canonical affiliation
46,Milan Momcilovic,milan momcilovic,Iowa State,Iowa State,matched,high,5380,5380,Normalized name matched one draft-year player with matching canonical affiliation
47,Milos Uzan,milos uzan,Houston,Houston,matched,medium,1726,1726,Normalized name matched one draft-year player
48,Johann Grunloh,johann grunloh,Virginia,Virginia,matched,medium,6327,6327,Normalized name matched one draft-year player
49,Nate Bittle,nate bittle,Oregon,Oregon,create_stub,medium,,,No existing draft-year player or alias candidate found
50,Flory Bidunga,flory bidunga,Kansas,Kansas,matched,medium,5430,5430,Normalized name matched one draft-year player
