source_rank,source_name,raw_affiliation,canonical_affiliation,affiliation_type,resolution_status,review_note
1,AJ Dybantsa,BYU,BYU,college,mapped,
2,Darryn Peterson,Kansas,Kansas,college,mapped,
3,Cameron Boozer,Duke,Duke,college,mapped,
4,Caleb Wilson,North Carolina,UNC,college,mapped,
5,Kingston Flemings,Houston,Houston,college,mapped,
6,Jayden Quaintance,Kentucky,Kentucky,college,mapped,
7,Koa Peat,Arizona,Arizona,college,mapped,
8,Yaxel Lendeborg,Michigan,Michigan,college,mapped,
9,Hannes Steinbach,Washington,Washington,college,mapped,
10,Mikel Brown Jr.,Louisville,Louisville,college,mapped,
11,Keaton Wagler,Illinois,Illinois,college,mapped,
12,Thomas Haugh,Florida,Florida,college,mapped,
13,Labaron Philon,Alabama,Alabama,college,mapped,
14,Patrick Ngongba II,Duke,Duke,college,mapped,
15,Cameron Carr,Baylor,Baylor,college,mapped,
16,Darius Acuff Jr.,Arkansas,Arkansas,college,mapped,
17,Braylon Mullins,Connecticut,UConn,college,mapped,
18,Nate Ament,Tennessee,Tennessee,college,mapped,
19,Joshua Jefferson,Iowa State,Iowa State,college,mapped,
20,Christian Anderson,Texas Tech,Texas Tech,college,mapped,
21,Benett Stirtz,Iowa,Iowa,college,mapped,
22,Amari Allen,Alabama,Alabama,college,mapped,
23,Chris Cenac Jr.,Houston,Houston,college,mapped,
24,Neoklis Avdalas,Virginia Tech,Virginia Tech,college,mapped,
25,Tounde Yessoufou,Baylor,Baylor,college,mapped,
26,Karim Lopez,NZ Breakers,,professional_or_international,mapped_intentional_non_college,
27,Tyler Tanner,Vanderbilt,Vanderbilt,college,mapped,
28,Henri Veesaar,North Carolina,UNC,college,mapped,
29,Dash Daniels,Melbourne United,,professional_or_international,mapped_intentional_non_college,
30,Killyan Toure,Iowa State,Iowa State,college,mapped,
31,Dailyn Swain,Texas,Texas,college,mapped,
32,Aday Mara,Michigan,Michigan,college,mapped,
33,Brayden Burries,Arizona,Arizona,college,mapped,
34,Alex Karaban,Connecticut,UConn,college,mapped,
35,Richie Saunders,BYU,BYU,college,mapped,
36,Isaiah Evans,Duke,Duke,college,mapped,
37,Meleek Thomas,Arkansas,Arkansas,college,mapped,
38,Braden Smith,Purdue,Purdue,college,mapped,
39,Ryan Conwell,Louisville,Louisville,college,mapped,
40,JoJo Tugler,Houston,Houston,college,mapped,
41,Sergio De Larrea,Valencia,,professional_or_international,mapped_intentional_non_college,
42,Dame Sarr,Duke,Duke,college,mapped,
43,Tarris Reed Jr.,Connecticut,UConn,college,mapped,
44,Alex Condon,Florida,Florida,college,mapped,
45,Tamin Lipsey,Iowa State,Iowa State,college,mapped,
46,Milan Momcilovic,Iowa State,Iowa State,college,mapped,
47,Milos Uzan,Houston,Houston,college,mapped,
48,Johann Grunloh,Virginia,Virginia,college,mapped,
49,Nate Bittle,Oregon,Oregon,college,mapped,
50,Flory Bidunga,Kansas,Kansas,college,mapped,
51,Braden Huff,Gonzaga,Gonzaga,college,mapped,
52,Morez Johnson Jr.,Michigan,Michigan,college,mapped,
53,Bruce Thornton,Ohio State,Ohio State,college,mapped,
54,Juke Harris,Wake Forest,Wake Forest,college,mapped,
55,Jaden Bradley,Arizona,Arizona,college,mapped,
56,Zuby Ejiofor,St. John’s,St. John's,college,mapped_punctuation_normalized,
57,Silas DeMary Jr.,Connecticut,UConn,college,mapped,
58,MoMo Faye,Paris Basketball,,professional_or_international,mapped_intentional_non_college,
59,Adam Atamna,ASVEL,,professional_or_international,mapped_intentional_non_college,
60,Tomislav Ivisic,Illinois,Illinois,college,mapped,
61,Kwame Evans Jr.,Oregon,Oregon,college,mapped,
62,Paul McNeil,NC State,NC State,college,mapped,
63,Pryce Sandfort,Nebraska,Nebraska,college,mapped,
64,Nolan Winter,Wisconsin,Wisconsin,college,mapped,
65,JT Toppin,Texas Tech,Texas Tech,college,mapped,
66,D’Shayne Montgomery,Dayton,Dayton,college,mapped,
67,Blue Cain,Georgia,Georgia,college,mapped,
68,Andrej Stojakovic,Illinois,Illinois,college,mapped,
69,Tahaad Pettiford,Auburn,Auburn,college,mapped,
70,K.J. Lewis,Georgetown,Georgetown,college,mapped,
71,Baba Miller,Cincinnati,Cincinnati,college,mapped,
72,Ja’Kobi Gillespie,Tennessee,Tennessee,college,mapped,
73,Motiejus Krivas,Arizona,Arizona,college,mapped,
74,Tyler Bilodeau,UCLA,UCLA,college,mapped,
75,Darrion Williams,NC State,NC State,college,mapped,
76,Nick Martinelli,Northwestern,Northwestern,college,mapped,
77,Cade Tyson,Minnesota,Minnesota,college,mapped,
78,William Kyle,Syracuse,Syracuse,college,mapped,
79,Keyshawn Hall,Auburn,Auburn,college,mapped,
80,Emanuel Sharp,Houston,Houston,college,mapped,
81,Nick Boyd,Wisconsin,Wisconsin,college,mapped,
82,Donovan Dent,UCLA,UCLA,college,mapped,
83,Maliq Brown,Duke,Duke,college,mapped,
84,Trey Kaufman-Renn,Purdue,Purdue,college,mapped,
85,Tucker DeVries,Indiana,Indiana,college,mapped,
86,Joshua Dix,Creighton,Creighton,college,mapped,
87,John Blackwell,Wisconsin,Wisconsin,college,mapped,
88,Otega Oweh,Kentucky,Kentucky,college,mapped,
89,Elijah Mahi,Santa Clara,Santa Clara,college,mapped,
90,Lamar Wilkerson,Indiana,Indiana,college,mapped,
91,Kylan Boswell,Illinois,Illinois,college,mapped,
92,Dillon Mitchell,St. John’s,St. John's,college,mapped_punctuation_normalized,
93,Ben Henshall,Perth Wildcats,,professional_or_international,mapped_intentional_non_college,
94,Trevon Brazile,Arkansas,Arkansas,college,mapped,
95,Michael Ruzic,Joventut,,professional_or_international,mapped_intentional_non_college,
96,Michael Ajayi,Butler,Butler,college,mapped,
97,Oscar Cluff,Purdue,Purdue,college,mapped,
98,Jordan Burks,UCF,UCF,college,mapped,
99,Fletcher Loyer,Purdue,Purdue,college,mapped,
100,Bryce Hopkins,St. John’s,St. John's,college,mapped_punctuation_normalized,
