source_rank,source_name,source_affiliation,source_position,source_height,source_age,source_url,source_publication_date,retrieval_date,source_name_full
1,AJ Dybantsa,BYU,Wing,6-9,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
2,Darryn Peterson,Kansas,Guard,6-5,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
3,Cameron Boozer,Duke,Forward,6-9,18,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
4,Caleb Wilson,North Carolina,Wing,6-8,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
5,Kingston Flemings,Houston,Guard,6-4,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
6,Jayden Quaintance,Kentucky,Big,6-10,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
7,Koa Peat,Arizona,Forward,6-8,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
8,Yaxel Lendeborg,Michigan,Forward,6-8.5,23,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
9,Hannes Steinbach,Washington,Big,6-9.5,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
10,Mikel Brown Jr.,Louisville,Guard,6-4,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
11,Keaton Wagler,Illinois,Wing,6-6,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
12,Thomas Haugh,Florida,Forward,6-9,23,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
13,Labaron Philon,Alabama,Guard,6-2.75,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
14,Patrick Ngongba II,Duke,Big,6-11,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
15,Cameron Carr,Baylor,Wing,6-6,21,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
16,Darius Acuff Jr.,Arkansas,Guard,6-1,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
17,Braylon Mullins,Connecticut,Wing,6-5,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
18,Nate Ament,Tennessee,Wing/Forward,6-9,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
19,Joshua Jefferson,Iowa State,Wing,6-9,22,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
20,Christian Anderson,Texas Tech,Guard,6-2,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
21,Benett Stirtz,Iowa,Guard,6-4,22,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
22,Amari Allen,Alabama,Wing,6-8,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
23,Chris Cenac Jr.,Houston,Big,6-9.5,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
24,Neoklis Avdalas,Virginia Tech,Wing,6-7.5,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
25,Tounde Yessoufou,Baylor,Wing,6-4,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
26,Karim Lopez,NZ Breakers,Forward,6-8,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
27,Tyler Tanner,Vanderbilt,Guard,5-11,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
28,Henri Veesaar,North Carolina,Big,7-0,22,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
29,Dash Daniels,Melbourne United,Wing,6-6,18,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
30,Killyan Toure,Iowa State,Guard,6-3,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
31,Dailyn Swain,Texas,Wing,6-8,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
32,Aday Mara,Michigan,Big,7-3,21,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
33,Brayden Burries,Arizona,Wing,6-4,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
34,Alex Karaban,Connecticut,Wing,6-6.5,23,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
35,Richie Saunders,BYU,Wing,6-5,24,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
36,Isaiah Evans,Duke,Wing,6-6,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
37,Meleek Thomas,Arkansas,Wing,6-5,19,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
38,Braden Smith,Purdue,Guard,6-0,22,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
39,Ryan Conwell,Louisville,Guard,6-4,22,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
40,JoJo Tugler,Houston,Big,6-8,21,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
41,Sergio De Larrea,Valencia,Guard,6-5,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
42,Dame Sarr,Duke,Wing,6-6.5,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
43,Tarris Reed Jr.,Connecticut,Big,6-11,22,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
44,Alex Condon,Florida,Big,6-11.25,21,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
45,Tamin Lipsey,Iowa State,Guard,6-1,23,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
46,Milan Momcilovic,Iowa State,Wing,6-8,21,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
47,Milos Uzan,Houston,Guard,6-3.25,23,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
48,Johann Grunloh,Virginia,Big,6-11,20,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
49,Nate Bittle,Oregon,Big,6-11.25,23,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
50,Flory Bidunga,Kansas,Big,6-7,21,https://www.nba.com/news/the-athletic-2026-nba-draft-top-100-prospects,2026-01-13,2026-04-26,The Athletic 2026 NBA Draft Top 100 via NBA.com
