source_rank,source_name,normalized_source_name,raw_affiliation,canonical_affiliation,resolution_action,confidence,canonical_player_id,candidate_player_ids,reason
1,AJ Dybantsa,aj dybantsa,BYU,BYU,matched,high,5390,5390,Normalized name matched one draft-year player with matching canonical affiliation
2,Darryn Peterson,darryn peterson,Kansas,Kansas,matched,high,5466,5466,Normalized name matched one draft-year player with matching canonical affiliation
3,Cameron Boozer,cameron boozer,Duke,Duke,matched,high,5653,5653,Normalized name matched one draft-year player with matching canonical affiliation
4,Caleb Wilson,caleb wilson,North Carolina,UNC,matched,high,5469,5469,Normalized name matched one draft-year player with matching canonical affiliation
5,Kingston Flemings,kingston flemings,Houston,Houston,matched,high,5708,5708,Normalized name matched one draft-year player with matching canonical affiliation
6,Jayden Quaintance,jayden quaintance,Kentucky,Kentucky,matched,medium,5478,5478,Normalized name matched one draft-year player
7,Koa Peat,koa peat,Arizona,Arizona,matched,high,5513,5513,Normalized name matched one draft-year player with matching canonical affiliation
8,Yaxel Lendeborg,yaxel lendeborg,Michigan,Michigan,matched,high,1691,1691,Normalized name matched one draft-year player with matching canonical affiliation
9,Hannes Steinbach,hannes steinbach,Washington,Washington,matched,high,5456,5456,Normalized name matched one draft-year player with matching canonical affiliation
10,Mikel Brown Jr.,mikel brown,Louisville,Louisville,merge_required,medium,,5389|5710,Multiple normalized-name candidates; review duplicate/alias merge
11,Keaton Wagler,keaton wagler,Illinois,Illinois,matched,high,5690,5690,Normalized name matched one draft-year player with matching canonical affiliation
12,Thomas Haugh,thomas haugh,Florida,Florida,matched,high,5379,5379,Normalized name matched one draft-year player with matching canonical affiliation
13,Labaron Philon,labaron philon,Alabama,Alabama,merge_required,medium,,1709|5572,Multiple normalized-name candidates; review duplicate/alias merge
14,Patrick Ngongba II,patrick ngongba,Duke,Duke,matched,high,5502,5502,Normalized name matched one draft-year player with matching canonical affiliation
15,Cameron Carr,cameron carr,Baylor,Baylor,matched,high,5519,5519,Normalized name matched one draft-year player with matching canonical affiliation
16,Darius Acuff Jr.,darius acuff,Arkansas,Arkansas,merge_required,medium,,5384|5681|6027,Multiple normalized-name candidates; review duplicate/alias merge
17,Braylon Mullins,braylon mullins,Connecticut,UConn,matched,high,5457,5457,Normalized name matched one draft-year player with matching canonical affiliation
18,Nate Ament,nate ament,Tennessee,Tennessee,matched,high,5561,5561,Normalized name matched one draft-year player with matching canonical affiliation
19,Joshua Jefferson,joshua jefferson,Iowa State,Iowa State,matched,high,5388,5388,Normalized name matched one draft-year player with matching canonical affiliation
20,Christian Anderson,christian anderson,Texas Tech,Texas Tech,matched,high,5382,5382,Normalized name matched one draft-year player with matching canonical affiliation
21,Benett Stirtz,benett stirtz,Iowa,Iowa,matched,high,5578,5578,Normalized name matched one draft-year player with matching canonical affiliation
22,Amari Allen,amari allen,Alabama,Alabama,matched,high,5383,5383,Normalized name matched one draft-year player with matching canonical affiliation
23,Chris Cenac Jr.,chris cenac,Houston,Houston,merge_required,medium,,5387|5791,Multiple normalized-name candidates; review duplicate/alias merge
24,Neoklis Avdalas,neoklis avdalas,Virginia Tech,Virginia Tech,matched,high,1660,1660,Normalized name matched one draft-year player with matching canonical affiliation
25,Tounde Yessoufou,tounde yessoufou,Baylor,Baylor,matched,high,5537,5537,Normalized name matched one draft-year player with matching canonical affiliation
26,Karim Lopez,karim lopez,NZ Breakers,,matched,high,5605,5605,Normalized name matched one draft-year player
27,Tyler Tanner,tyler tanner,Vanderbilt,Vanderbilt,matched,high,5679,5679,Normalized name matched one draft-year player with matching canonical affiliation
28,Henri Veesaar,henri veesaar,North Carolina,UNC,matched,high,5609,5609,Normalized name matched one draft-year player with matching canonical affiliation
29,Dash Daniels,dash daniels,Melbourne United,,matched,high,5639,5639,Normalized name matched one draft-year player
30,Killyan Toure,killyan toure,Iowa State,Iowa State,matched,high,6063,6063,Normalized name matched one draft-year player with matching canonical affiliation
31,Dailyn Swain,dailyn swain,Texas,Texas,matched,high,5465,5465,Normalized name matched one draft-year player with matching canonical affiliation
32,Aday Mara,aday mara,Michigan,Michigan,matched,high,5577,5577,Normalized name matched one draft-year player with matching canonical affiliation
33,Brayden Burries,brayden burries,Arizona,Arizona,matched,high,5597,5597,Normalized name matched one draft-year player with matching canonical affiliation
34,Alex Karaban,alex karaban,Connecticut,UConn,matched,medium,1627,1627,Normalized name matched one draft-year player
35,Richie Saunders,richie saunders,BYU,BYU,matched,high,5385,5385,Normalized name matched one draft-year player with matching canonical affiliation
36,Isaiah Evans,isaiah evans,Duke,Duke,matched,high,5509,5509,Normalized name matched one draft-year player with matching canonical affiliation
37,Meleek Thomas,meleek thomas,Arkansas,Arkansas,matched,high,5647,5647,Normalized name matched one draft-year player with matching canonical affiliation
